"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
5	7213	28	0.0121008042783211	4625
6	7213	52	0.00595452783820172	2658
7	7213	43	0.00712403605510001	2801
8	7213	39	0.0085898210191575	3001
10	7213	34	0.00851648688780081	2776
11	7213	66	0.00339033018867925	989
12	7213	71	0.00274956650978449	555
13	7213	56	0.00388724881747123	927
4	7221	35	0.00669378906469959	1902
5	7221	10	0.0214805628378414	8210
6	7221	42	0.00788112450518949	3518
7	7221	79	0.00301137404114188	1184
8	7221	33	0.0104360171395696	3646
9	7221	42	0.00741921744235573	2578
10	7221	95	0.00162905422817804	531
11	7221	41	0.00713717639315489	2082
12	7221	57	0.00424077285112707	856
13	7221	25	0.0120056023348653	2863
4	7311	76	0.00164705219888507	468
5	7311	38	0.0086210054263931	3295
6	7311	35	0.00927678697441435	4141
7	7311	71	0.0036116141371803	1420
8	7311	18	0.0134672135605252	4705
9	7311	35	0.00835741173491119	2904
10	7311	31	0.00936629483734001	3053
11	7311	13	0.0185114085125055	5400
12	7311	20	0.0134852613326728	2722
13	7311	17	0.0152428796672146	3635
4	7341	31	0.00812616138296075	2309
5	7341	45	0.00599676614181881	2292
6	7341	61	0.00452078148137362	2018
7	7341	39	0.0077929476875496	3064
8	7341	45	0.00807460349718205	2821
9	7341	109	0.000906537429923218	315
10	7341	21	0.0135294334204617	4410
11	7341	43	0.00669153137340939	1952
12	7341	88	0.0015209313846916	307
13	7341	27	0.0110537086114932	2636
4	7352	63	0.00282603187116392	803
6	7352	111	0.00094985696139862	424
7	7352	111	0.000852035729546056	335
8	7352	80	0.0033603631711066	1174
11	7352	94	0.00136778740675735	399
13	7352	26	0.0117707739273374	2807
5	7411	102	0.000970680732379921	371
6	7411	102	0.0014740704731139	658
7	7411	86	0.00259934482267483	1022
8	7411	89	0.00232134116845609	811
9	7411	100	0.00143607040486249	499
10	7411	100	0.0012885174686154	420
11	7411	76	0.00280413558578324	818
12	7411	33	0.00793163240029725	1601
13	7411	74	0.00169831259015734	405
4	7511	39	0.00626794864575708	1781
5	7511	58	0.00392720156146162	1501
6	7511	20	0.0135489030720256	6048
7	7511	46	0.00677813498280668	2665
8	7511	43	0.00826351658857305	2887
9	7511	30	0.00966973258584766	3360
10	7511	24	0.012336020812625	4021
11	7511	47	0.00597849934181659	1744
12	7511	26	0.0115531335149864	2332
13	7511	77	0.00153896474219196	367
4	7513	20	0.0123916042569965	3521
5	7513	12	0.0186757926353851	7138
6	7513	28	0.0109748803157826	4899
7	7513	49	0.00652633934929904	2566
8	7513	67	0.00511210274582316	1786
9	7513	18	0.0127951282966306	4446
10	7513	19	0.0145019573193928	4727
11	7513	17	0.0135441805616498	3951
12	7513	30	0.00950210552390389	1918
13	7513	15	0.0156747962024892	3738
6	7515	109	0.000987940849001866	441
7	7515	91	0.00227633426251857	895
8	7515	73	0.00401869667140858	1404
9	7515	107	0.0011195017785401	389
10	7515	64	0.00431960141859637	1408
11	7515	74	0.00286584028082492	836
12	7515	60	0.00403269754768392	814
13	7515	18	0.0150332114462075	3585
4	7517	55	0.00406835970493834	1156
5	7517	75	0.00281785215302742	1077
6	7517	108	0.00102826496528766	459
7	7517	95	0.00211610067755916	832
10	7517	98	0.00133760384837217	436
12	7517	38	0.00656923458013376	1326
5	7611	97	0.00104393965557841	399
6	7611	110	0.000970019019541515	433
7	7611	70	0.00372097991739069	1463
8	7611	81	0.00335750085154007	1173
9	7611	84	0.00242894473287364	844
13	7611	53	0.00468398805729813	1117
4	7612	29	0.0087772397094431	2494
5	7612	16	0.0149709842336332	5722
6	7612	27	0.0114363674243867	5105
7	7612	59	0.00524447066962378	2062
8	7612	58	0.00622840737676999	2176
9	7612	64	0.0047111167389978	1637
