"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
12	5116	18	0.0141080442487381	3284
13	5116	44	0.00525490469387044	1508
4	5211	29	0.00788301627537846	2662
5	5211	33	0.00959439577663881	3991
6	5211	61	0.0054218252947164	2381
7	5211	31	0.00944691994900488	3831
8	5211	55	0.00643525202435503	2563
9	5211	97	0.00223296437693977	813
10	5211	31	0.00997851789901773	3651
11	5211	38	0.00678699907972894	1947
12	5211	66	0.00343679518848674	800
13	5211	21	0.00912987420287835	2620
4	5212	69	0.00160207055033048	541
5	5212	19	0.0143639475733944	5975
6	5212	46	0.00765795819661119	3363
7	5212	109	0.00152886723267633	620
8	5212	59	0.00595568388676166	2372
9	5212	68	0.00412810019500673	1503
10	5212	100	0.00163165576163067	597
4	5222	14	0.0149161356044633	5037
5	5222	65	0.00468541151808295	1949
6	5222	73	0.00412158915726026	1810
7	5222	102	0.00199739106204488	810
8	5222	77	0.00372355784319879	1483
9	5222	85	0.00295531324672471	1076
10	5222	63	0.00443034169112784	1621
11	5222	25	0.0094292925067626	2705
12	5222	38	0.00572655998281602	1333
13	5222	26	0.00863504895982158	2478
4	5241	79	0.00107199545142262	362
5	5241	119	0.00100727933610916	419
6	5241	59	0.00558577801257426	2453
7	5241	73	0.0040194412730039	1630
9	5241	84	0.0030157378670109	1098
10	5241	66	0.00411330305067699	1505
11	5241	63	0.00447586379988287	1284
6	5242	65	0.00485026790329522	2130
7	5242	113	0.00116884365852997	474
8	5242	91	0.00272926997677484	1087
9	5242	27	0.00981625422285699	3574
10	5242	82	0.00291074269034617	1065
11	5242	77	0.00354513511252405	1017
12	5242	84	0.00212651702287617	495
13	5242	89	0.0014844757291703	426
4	5254	43	0.00473810144275189	1600
5	5254	112	0.00115632782975777	481
6	5254	133	0.000658087992512826	289
7	5254	99	0.00225384621075188	914
11	5254	104	0.0016767059873393	481
12	5254	106	0.00110407045430136	257
4	5312	62	0.00270664044917202	914
5	5312	97	0.00203619474387699	847
6	5312	86	0.00343617571177112	1509
7	5312	89	0.00270017680609771	1095
8	5312	40	0.00820287489799761	3267
9	5312	64	0.00473509297151803	1724
10	5312	118	0.00100577775591304	368
11	5312	55	0.00495691458211328	1422
12	5312	37	0.00578670389861454	1347
13	5312	41	0.00584033174199394	1676
4	5313	25	0.00909419345668191	3071
5	5313	29	0.0108468839248796	4512
6	5313	15	0.0153842300256632	6756
7	5313	25	0.0112421059899539	4559
8	5313	19	0.0131240976712071	5227
9	5313	17	0.01256008129858	4573
10	5313	37	0.00850538145761248	3112
11	5313	13	0.0185483421177389	5321
12	5313	6	0.0445107936848888	10361
13	5313	6	0.0344914102519427	9898
5	6101	50	0.00612781629532757	2549
6	6101	96	0.00306045073334684	1344
7	6101	97	0.00234508506173418	951
8	6101	79	0.00367585211223401	1464
9	6101	92	0.00255431349391634	930
10	6101	81	0.00291074269034617	1065
13	6101	57	0.00384012266090532	1102
4	6111	68	0.001649451564758	557
5	6111	107	0.00133903243487542	557
6	6111	64	0.00492769002006144	2164
7	6111	9	0.0177077348352399	7181
8	6111	24	0.0113715397652376	4529
9	6111	14	0.0149825592573265	5455
10	6111	7	0.0257347917110794	9416
11	6111	15	0.0172481106556234	4948
12	6111	8	0.0356610460745355	8301
13	6111	2	0.0874760427919295	25103
4	6114	47	0.00417841320982682	1411
5	6114	35	0.00902704989758926	3755
6	6114	106	0.00253443576355286	1113
7	6114	65	0.00473209067662239	1919
8	6114	98	0.00224970183918147	896
9	6114	81	0.00327391579005191	1192
11	6114	20	0.0122911960735101	3526
12	6114	83	0.00221243690258834	515
13	6114	38	0.0060215353521274	1728
4	6116	32	0.00764907251664258	2583
6	6116	102	0.00274165378195655	1204
8	6116	86	0.0030230368464001	1204
10	6116	61	0.00456699627752907	1671
11	6116	11	0.0212603530494437	6099
12	6116	59	0.0039265385028461	914
13	6116	14	0.0198174025159424	5687
4	6121	58	0.00341439435218308	1153
5	6121	53	0.00588260748319598	2447
6	6121	33	0.0095183661200817	4180
7	6121	35	0.00905730539616156	3673
8	6121	13	0.0153286046073693	6105
9	6121	13	0.0155044082507072	5645
10	6121	21	0.0133675516417682	4891
11	6121	53	0.00513469421902451	1473
12	6121	21	0.0106282891203952	2474
13	6121	7	0.0307662821897759	8829
4	6123	36	0.00681102082395584	2300
5	6123	104	0.00150490898425856	626
